titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211079,JUZGADO de 1a INST E INSTRUCC. 1 - MANZANARES,Expediente: 0062/19,Expediente: 0062/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211079&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211079</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1392 0000 06 0062 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>48.104,45 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9814</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>75.491,37 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.509,82 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.774,56 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210905,JUZGADO de 1a INST E INSTRUCC. 2 - ALCAZAR DE SAN JUAN,Expediente: 0169/21,Expediente: 0169/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210905&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210905</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1362 0000 06 0169 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>46.690,70 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9785</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>79.521,50 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.590,43 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.976,08 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210569 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - PUERTOLLANO,Expediente: 0251/11,Expediente: 0251/11,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210569&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210569</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1399 0000 06 0251 11</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>258.673,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9498</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210071 (7 lotes),JUZGADO de 1a INST E INSTRUCC. 2 - PUERTOLLANO,Expediente: 0142/21,Expediente: 0142/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210071&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210071</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1399 0000 06 0142 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>311.374,78 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>7</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9499</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210800,JUZGADO de 1a INST E INSTRUCC. 1 - MANZANARES,Expediente: 0043/19,Expediente: 0043/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210800&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210800</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1392 0000 06 0043 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>249.366,62 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9489</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>430.080,59 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>8.601,61 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>21.504,02 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210822,JUZGADO de 1a INST E INSTRUCC. 1 - MANZANARES,Expediente: 0049/19,Expediente: 0049/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210822&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210822</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1392 0000 06 0049 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>30.985,14 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8768</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>75.583,19 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.511,66 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.779,15 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208958,JUZGADO de 1a INST E INSTRUCC. 1 - DAIMIEL,Expediente: 0473/22,Expediente: 0473/22,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208958&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208958</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1386 0000 06 0473 22</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>71.206,52 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8479</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>121.550,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.431,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>6.077,50 €</td>
</tr>
</table>"
SUBASTA SUB-JV-2023-207591,JUZGADO de 1a INST E INSTRUCC. 5 - CIUDAD REAL,Expediente: 0077/14,Expediente: 0077/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2023-207591&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JV-2023-207591</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL VOLUNTARIA</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1825 0000 05 0077 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>24-01-2023 18:00:00 CET  (ISO: 2023-01-24T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">15-04-2023 18:29:21 CET </strong> (ISO: 2023-04-15T18:29:21+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-1702</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>117.856,25 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>117.856,25 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>58.928,13 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>5.892,81 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-192822 (3 lotes),JUZGADO de 1a INST E INSTRUCC. 3 - ALCAZAR DE SAN JUAN,Expediente: 0240/13,Expediente: 0240/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-192822&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-192822</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4596 0000 06 0240 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>24-03-2023 18:00:00 CET  (ISO: 2023-03-24T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">13-04-2023 18:00:00 CET </strong> (ISO: 2023-04-13T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>230.156,09 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>3</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8085</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R4586001265,U.R. SUBASTAS CASTILLA-MANCHA - TOLEDO,Estado: Celebrándose - [Conclusión prevista: 11/04/2023 a las 15:23:53],Estado: Celebrándose - [Conclusión prevista: 11/04/2023 a las 15:23:53],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R4586001265&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYjNvMmxwYWtLaUkwblQ1SFY5RUJ3TGdUY0JscnBIa25tTlJQMmtScXJVakZhejhNY1pnQitEY096c012RXAzcFlHQVF5Z1k5OU1CSVVqTmw1RXdWay9lVDd5QnBDR08ydDhJYVQ0dFJkaDFWM0UxaFZwTkZleGNhVWI5Vmp4R1gxYUNEMk5nc3FjenVSNlVSSi9vVkIwMmQyUk5DN1VSb2ZTU1JEak93NkIyd0cwWHUxbGl1N3dUL1k3S1V5VTQxcFhsNDFoL1o0VGhwWkgvb2pvcHBLSk02VUF0NndaVWRWR0JFeFl6clhlS09odEt1amwyaG5uTVF6U2ZTUlAzYmhBMHdydzRKUEtlbjZBazhyY1dyZTg9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R4586001265</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-03-2023 18:00:00 CET  (ISO: 2023-03-07T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">11-04-2023 15:23:53 CET </strong> (ISO: 2023-04-11T15:23:53+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-6430</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>64.097,60 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>64.097,60 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.204,88 €</td>
</tr>
</table>"
