titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-210115,JUZGADO de 1a INSTANCIA 2 - VIGO,Expediente: 0299/21,Expediente: 0299/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210115&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210115</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3615 0000 05 0299 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>22.382,27 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9834</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>95.400,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.770,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-209610,JUZGADO de 1a INST E INSTRUCC. 1 - ESTRADA (A)-ESTRADA (A),Expediente: 0086/21,Expediente: 0086/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-209610&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-209610</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3570 0000 06 0086 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>32.225,99 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9800</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>80.025,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.600,50 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.001,25 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R2886001573,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R2886001573&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R2886001573</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9670</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>14.285,89 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>14.285,89 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>714,29 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211092,JUZGADO de 1a INSTANCIA 2 - VIGO,Expediente: 0059/18,Expediente: 0059/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211092&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211092</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3615 0000 03 0059 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>3.524,59 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9528</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>18.061,25 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>903,06 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R2886001040,U.R. SUBASTAS MADRID - MADRID,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R2886001040&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R2886001040</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9620</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>39.936,48 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>39.936,48 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.996,82 €</td>
</tr>
</table>"
SUBASTA SUB-JC-2023-211101,JUZGADO de 1a INST E INSTRUCC. 2 - REDONDELA,Expediente: 0168/21,Expediente: 0168/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JC-2023-211101&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JC-2023-211101</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL CONCURSAL</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3650 0000 54 0168 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>31-03-2023 18:00:00 CET  (ISO: 2023-03-31T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">20-04-2023 18:00:00 CET </strong> (ISO: 2023-04-20T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>45.909,82 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8987</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>4.086,72 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>81,73 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>204,33 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-207327,JUZGADO de 1a INST E INSTRUCC. 1 - CALDAS DE REIS,Expediente: 0056/19,Expediente: 0056/19,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-207327&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-207327</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3560 0000 06 0056 19</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>02-02-2023 18:00:00 CET  (ISO: 2023-02-02T18:00:00+01:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">18-04-2023 05:24:46 CET </strong> (ISO: 2023-04-18T05:24:46+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>4.787,74 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-2902</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>15.488,08 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>309,76 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>774,40 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R1586001181,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001181&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001181</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8677</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>86.397,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>86.397,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>2.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.319,85 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-22R1586001180,U.R. SUBASTAS GALICIA - A CORUŃA,Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 17/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-22R1586001180&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-22R1586001180</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8676</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>2.170,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>2.170,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>108,50 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2022-201965,JUZGADO de 1a INSTANCIA 1 - VIGO,Expediente: 0262/17,Expediente: 0262/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-201965&idBus=_aGZaODZVK09aRlgzcFpxSzQ4SWlXdVZVZkY0ZDZpa1o2czl1R0ZYTFFBZDNIc3N5NW1ML0FHd2Z1MGRPWElpWVBUQUtzME01QnhXZTN0amUwdUp3a05uc2NvZGxtRTBJWkc0UmxuL1Z3ajgwNkQ1QUVGM0ZIYm5HQWZwdVU3Mm5ZNjFaeGU0cmxNdm9IbGw3akRlVEswdUt5aGtUTzEwK0NLaW1RVzFKcnJURHo2YzZGZ1ErK0hwNFptemFIR0FpWFVmVVNRN2VUK2dPa29SOEVyM1BwclpjNi8zYy9adUZqZDBORGE2T09OZHNFVVRYeEdSM0phVXlCd0dYL3I0RUsvUlNPNmowcGgwT1ZiVG9uajV0Ui9mTWlnOS9zSDFzNUdvVWx4UXFKeG89--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-201965</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>3614 0000 06 0262 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>525.584,23 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8575</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>421.496,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>8.429,92 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>21.074,80 €</td>
</tr>
</table>"
