titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211352,JUZGADO de 1a INST E INSTRUCC. 1 - HELLIN,Expediente: 0110/18,Expediente: 0110/18,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211352&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211352</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0060 0000 05 0110 18</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>18.776,49 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9806</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>61.276,95 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.225,53 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.063,84 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-207903,JUZGADO de 1a INST E INSTRUCC. 3 - HELLIN,Expediente: 0099/21,Expediente: 0099/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-207903&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-207903</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>4862 0000 06 0099 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>118.588,38 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9805</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>172.780,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>172.780,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>8.639,00 €</td>
</tr>
</table>"
SUBASTA SUB-NE-2023-1176033,Notaría de Eva María Paterna Martínez - Albacete,Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 26/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-NE-2023-1176033&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-NE-2023-1176033</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>NOTARIAL EN VENTA EXTRAJUDICIAL</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>06-04-2023 18:00:00 CET  (ISO: 2023-04-06T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">26-04-2023 18:00:00 CET </strong> (ISO: 2023-04-26T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>5.054.333,79 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9938</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.500.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.500.000,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Sin tramos</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>175.000,00 €</td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R4686001013,U.R. SUBASTAS VALENCIA - VALENCIA,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R4686001013&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R4686001013</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9599</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>6.694,16 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>6.694,16 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>500,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>334,70 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2021-176216,JUZGADO de 1a INST E INSTRUCC. 1 - HELLIN,Expediente: 0079/16,Expediente: 0079/16,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2021-176216&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2021-176216</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0060 0000 06 0079 16</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>79.972,68 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9455</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>209.375,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.187,50 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.468,75 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0025I20220073,Gestion Tributaria Provincial Albacete - ALBACETE,Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0025I20220073&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0025I20220073</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>3.304,47 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8906</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>3.410,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>3.410,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>1.023,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>300,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>170,50 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0025I20220072,Gestion Tributaria Provincial Albacete - ALBACETE,Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0025I20220072&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0025I20220072</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>5.705,03 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8907</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>8.331,26 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>8.331,26 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>2.499,38 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>416,56 €</td>
</tr>
</table>"
SUBASTA SUB-JV-2023-210037,JUZGADO de 1a INST E INSTRUCC. 1 - CASAS IBAŃEZ,Expediente: 0042/21,Expediente: 0042/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JV-2023-210037&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JV-2023-210037</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL VOLUNTARIA</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0058 0000 05 0042 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8742</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>80.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>56.000,00 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.800,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>4.000,00 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0025I20230007,Gestion Tributaria Provincial Albacete - ALBACETE,Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 19/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0025I20230007&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0025I20230007</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>30-03-2023 18:00:00 CET  (ISO: 2023-03-30T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">19-04-2023 18:00:00 CET </strong> (ISO: 2023-04-19T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>4.855,94 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8917</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>151.708,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>151.708,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>45.512,40 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>3.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>7.585,40 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-210852,JUZGADO de 1a INST E INSTRUCC. 1 - HELLIN,Expediente: 0014/17,Expediente: 0014/17,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-210852&idBus=_Y2c1aXZxM3BXN0ZzclRMeWlUZm4zYWdHTEg2c2pReHlsTFdCZG5ISG9oQTdyZkU0dTFpWXZzdkxHNlREWFkvSE5CTElRVnpMZWk5a0tuNzNqdGFlTXpQOWgyU0pHamY1MmxQZHh0T0RKY2Foem1yRUY3VXkrMmUyTW10Rmd1TVpaSHh1aFZLcVlUelpHOEVhbU42b3JyZmdJVVRQenE0bEdZdVF4ci9Tc1JRb1ZyWGJVdlR6Z0o0Z3ZBem9tN3JUWjJvbkdEMVNtSnY2L1BWS3VzT1JFRERKNFE5ZFhHM1A1Rlc4c3pTVkc5WkVrWW9kZWhSUFJBRlB4aFgva3U0Q2sxRGxYMXI5VXQ1a1VjOUliY3FBSXZzekJ6aHJ4bk1udWl6MnFJckVJYWs9--250,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-210852</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0060 0000 06 0014 17</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>28-03-2023 18:00:00 CET  (ISO: 2023-03-28T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">17-04-2023 18:00:00 CET </strong> (ISO: 2023-04-17T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>44.748,72 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-8500</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>63.015,61 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.260,31 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>3.150,78 €</td>
</tr>
</table>"
