titulo,donde,expediente,descripcion,link,datos_tabla
SUBASTA SUB-JA-2023-211501,AUDIENCIA PROV. SECC. 2 - CACERES,Expediente: 0046/13,Expediente: 0046/13,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211501&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211501</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>1152 0000 78 0046 13</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>07-04-2023 18:00:00 CET  (ISO: 2023-04-07T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">27-04-2023 18:00:00 CET </strong> (ISO: 2023-04-27T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>10.741,31 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9940</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>10.741,31 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>82.656,20 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>214,82 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>537,06 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0601100102002,Organismo Autónomo de Recaudación y Gestión Tributaria de la Diputación de Badajoz - Badajoz,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0601100102002&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0601100102002</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>42.430,82 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9720</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>42.956,81 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>55.112,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>17.182,72 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>600,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.147,84 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0601100102001,Organismo Autónomo de Recaudación y Gestión Tributaria de la Diputación de Badajoz - Badajoz,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0601100102001&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0601100102001</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>20.210,83 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9719</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>337.306,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>337.306,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>134.922,40 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>600,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>16.865,30 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211255,JUZGADO de 1a INST E INSTRUCC. 2 - ZAFRA,Expediente: 0032/21,Expediente: 0032/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211255&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211255</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0390 0000 06 0032 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>65.340,87 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9534</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>308.814,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>308.814,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>6.176,28 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>15.440,70 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-211110,JUZGADO de 1a INSTANCIA 2 - BADAJOZ,Expediente: 1298/21,Expediente: 1298/21,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-211110&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-211110</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0882 0000 17 1298 21</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>95.463,73 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9407</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>210.000,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>0,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>4.200,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>10.500,00 €</td>
</tr>
</table>"
SUBASTA SUB-JA-2023-208106 (10 lotes),JUZGADO de 1a INSTANCIA 2 - BADAJOZ,Expediente: 0969/15,Expediente: 0969/15,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2023-208106&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2023-208106</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0882 0000 17 0969 15</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>1.380.088,80 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>10</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9408</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-JA-2022-206947 (2 lotes),JUZGADO de 1a INST E INSTRUCC. 1 - LLERENA,Expediente: 0111/14,Expediente: 0111/14,https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-JA-2022-206947&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-JA-2022-206947</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>JUDICIAL EN VÍA DE APREMIO</strong>
</td>
</tr>
<tr>
<th>Cuenta expediente</th>
<td>0366 0000 06 0111 14</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>13.474,38 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>2</td>
</tr>
<tr>
<th>Forma adjudicación</th>
<td>Separada para cada lote</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9470</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>Ver valor de subasta en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Tasación</th>
<td>Ver valor de tasación en cada lote <strong class=""destaca"">(los lotes se subastan de forma independiente)</strong></td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Ver puja mínima de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>Ver tramos de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>Ver importe de consignación de cada lote <strong class=""destaca"">(adjudicación independiente)</strong></td>
</tr>
</table>"
SUBASTA SUB-AT-2023-23R0686001021,E.R. SUBASTAS.SEDE BADAJOZ - BADAJOZ,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-AT-2023-23R0686001021&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-AT-2023-23R0686001021</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>AGENCIA TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9605</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>44.495,83 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>44.495,83 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>Sin puja mínima</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>1.000,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>2.224,79 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0601100102006,Organismo Autónomo de Recaudación y Gestión Tributaria de la Diputación de Badajoz - Badajoz,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0601100102006&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0601100102006</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>8.582,68 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9724</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>37.414,36 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>75.455,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>14.965,74 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>600,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>1.870,72 €</td>
</tr>
</table>"
SUBASTA SUB-RC-2023-0601100102005,Organismo Autónomo de Recaudación y Gestión Tributaria de la Diputación de Badajoz - Badajoz,Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],Estado: Celebrándose - [Conclusión prevista: 24/04/2023 a las 18:00:00],https://subastas.boe.es/./detalleSubasta.php?idSub=SUB-RC-2023-0601100102005&idBus=_MFZXb1l2RFNDeTZscW9yT1lmNHR2SjJHN05YOG12ODhGUXNDbVpLb25CVytOcTN3SVpOM0pwVDYvbmg2S25zTWVuQkpoQ05WbHRXUHRKSHhrNFVwQnhSV2d0RlFCRmVSRDYwbmdVZUc0aHoreEZWRm9STFVEdnhqVlRIRGxyTXNYcDJ6NnE4NzRuSFFhR29GTVhmOW9DeGFEdFVMU0Z6VEZsSEFiQVVpRW9DUzhOOTZOdG4vSXRLZ0VuK2UzWUk5L2pvVWxKcWkyQ1dQeUtZWHd3QWRabngyRzNpbmQ4WVlkN1BtMlRIaWQwbVg5TlFVaERlN090d3lxVloza2JhSFl2Z09FUXlqajNpYW9qMkFETmJ3STU5S0hZd0ZwWHFCOThQSVpjSXUvbmc9--350,"<table>
<tr>
<th>Identificador</th>
<td>
<strong>SUB-RC-2023-0601100102005</strong>
</td>
</tr>
<tr>
<th>Tipo de subasta</th>
<td>
<strong>RECAUDACIÓN TRIBUTARIA</strong>
</td>
</tr>
<tr>
<th>Fecha de inicio</th>
<td>04-04-2023 18:00:00 CET  (ISO: 2023-04-04T18:00:00+02:00)</td>
</tr>
<tr>
<th>Fecha de conclusión</th>
<td><strong class=""destaca"">24-04-2023 18:00:00 CET </strong> (ISO: 2023-04-24T18:00:00+02:00)</td>
</tr>
<tr>
<th>Cantidad reclamada</th>
<td>9.229,29 €</td>
</tr>
<tr>
<th>Lotes</th>
<td>Sin lotes</td>
</tr>
<tr>
<th>Anuncio BOE</th>
<td>BOE-B-2023-9723</td>
</tr>
<tr>
<th>Valor subasta</th>
<td>7.198,00 €</td>
</tr>
<tr>
<th>Tasación</th>
<td>7.198,00 €</td>
</tr>
<tr>
<th>Puja mínima</th>
<td>2.879,20 €</td>
</tr>
<tr>
<th>Tramos entre pujas</th>
<td>300,00 €</td>
</tr>
<tr>
<th>Importe del depósito</th>
<td>359,90 €</td>
</tr>
</table>"
